solver_class,solution,execution_time,iterations,tolerance,matrix
JacobiSolver,[1. 1. 1. ... 1. 1. 1.],0.3445267999995849,1,0.0001,vem2.mtx
GaussSeidelSolver,[1. 1. 1. ... 1. 1. 1.],0.03267829999822425,1,0.0001,vem2.mtx
GradientSolver,[0.66625052 0.66625052 0.66625052 ... 0.66625052 0.66625052 0.66625052],0.0034593999953358434,1,0.0001,vem2.mtx
ConjugateGradientSolver,[0.66625052 0.66625052 0.66625052 ... 0.66625052 0.66625052 0.66625052],0.0182792999985395,1,0.0001,vem2.mtx
JacobiSolver,[1. 1. 1. ... 1. 1. 1.],0.34718940000311704,1,1e-06,vem2.mtx
GaussSeidelSolver,[1. 1. 1. ... 1. 1. 1.],0.03442000000359258,1,1e-06,vem2.mtx
GradientSolver,[0.66625052 0.66625052 0.66625052 ... 0.66625052 0.66625052 0.66625052],0.0037488000016310252,1,1e-06,vem2.mtx
ConjugateGradientSolver,[0.66625052 0.66625052 0.66625052 ... 0.66625052 0.66625052 0.66625052],0.017741899995598942,1,1e-06,vem2.mtx
JacobiSolver,[1. 1. 1. ... 1. 1. 1.],0.3558453000005102,1,1e-08,vem2.mtx
GaussSeidelSolver,[1. 1. 1. ... 1. 1. 1.],0.033695099999022204,1,1e-08,vem2.mtx
GradientSolver,[0.66625052 0.66625052 0.66625052 ... 0.66625052 0.66625052 0.66625052],0.004043500004627276,1,1e-08,vem2.mtx
ConjugateGradientSolver,[0.66625052 0.66625052 0.66625052 ... 0.66625052 0.66625052 0.66625052],0.01937249999900814,1,1e-08,vem2.mtx
JacobiSolver,[1. 1. 1. ... 1. 1. 1.],0.3099718999947072,1,1e-10,vem2.mtx
GaussSeidelSolver,[1. 1. 1. ... 1. 1. 1.],0.0339045000000624,1,1e-10,vem2.mtx
GradientSolver,[0.66625052 0.66625052 0.66625052 ... 0.66625052 0.66625052 0.66625052],0.004053800003021024,1,1e-10,vem2.mtx
ConjugateGradientSolver,[0.66625052 0.66625052 0.66625052 ... 0.66625052 0.66625052 0.66625052],0.01901509999879636,1,1e-10,vem2.mtx
